,id,scientificName,scientificNameAuthorship,decimalLongitude,decimalLatitude,scientificNameID,absence,aphiaID,basisOfRecord,brackish,category,class,classid,continent,country,dataset_id,family,familyid,genus,genusid,higherGeography,identificationReferences,kingdom,kingdomid,locality,marine,node_id,occurrenceID,order,orderid,originalScientificName,phylum,phylumid,sampleSizeUnit,samplingProtocol,species,speciesid,subphylum,subphylumid,superclass,superclassid,terrestrial,waterBody,year,flags
5,0004591d-84bd-47ae-b145-fc67d721f8b0,Ursus maritimus,"Phipps, 1774",-83.6375,56.42278,urn:lsid:marinespecies.org:taxname:137085,False,137085,HumanObservation,,VU,Mammalia,1837,North America,Canada,19119a0f-92f3-4662-85c5-30f8472067cf,Ursidae,136977.0,Ursus,137011.0,Canada,"{Obbard, 2007 #1804}",Animalia,2,Southern Hudson bay population,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_8081_1989,Carnivora,2687.0,Ursus maritimus,Chordata,1821,Number of bears,Estimates during intensive capture years,Ursus maritimus,137085.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1989,no_depth
7,0019a345-47d1-41a5-969c-bcce0ddfa5f9,Odobenus rosmarus,"Illiger, 1815",-172.61,53.58111,urn:lsid:marinespecies.org:taxname:137077,False,137077,HumanObservation,,VU,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Odobenidae,136975.0,Odobenus,137005.0,United States,"{Seitz, 1995 #1102}",Animalia,2,Alaska,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2217_2006,Carnivora,2687.0,Odobenus rosmarus,Chordata,1821,Number of individuals,Unknown,Odobenus rosmarus,137077.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,2006,no_depth
12,0027d548-c43a-455b-b1e5-87ba78253271,Eschrichtius robustus,"Lilljeborg, 1861",-170.46667,64.0,urn:lsid:marinespecies.org:taxname:137112,False,137112,HumanObservation,,,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Eschrichtiidae,136981.0,Eschrichtius,137027.0,United States,"{Moore, 2003 #1404}",Animalia,2,Northern Bering Sea including St Lawrence Island,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_5074_1982,Cetartiodactyla,370511.0,Eschrichtius robustus,Chordata,1821,no. of whales per 10km survey effort,aerial surveys fixed wing aircraft,Eschrichtius robustus,137112.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1982,no_depth
13,002b122c-610c-440a-9d95-140762f27127,Enhydra lutris,"Linnaeus, 1758",-178.96306,51.38694,urn:lsid:marinespecies.org:taxname:242598,False,242598,HumanObservation,,EN,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Mustelidae,136974.0,Enhydra,242597.0,United States,"{DOROFF, 2003 #1276}",Animalia,2,"Delarof Islands, Aleutian Islands, Alaska",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_4806_2000,Carnivora,2687.0,Enhydra lutris,Chordata,1821,number of individuals,aerial survey,Enhydra lutris,242598.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,2000,"no_depth,on_land"
23,004e63dd-cafa-4688-a1c0-0f66ea853b91,Enhydra lutris,"Linnaeus, 1758",-162.01667,54.86667,urn:lsid:marinespecies.org:taxname:242598,False,242598,HumanObservation,,EN,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Mustelidae,136974.0,Enhydra,242597.0,United States,"{Burn, 2005 #2259}",Animalia,2,"South Alaska Peninsula, coastline of 22 islands",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_9806_1971,Carnivora,2687.0,Enhydra lutris,Chordata,1821,Density (total otters per kilometer squared),Arial survey (coastal lengths),Enhydra lutris,242598.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1971,no_depth
25,004fabea-b816-4e69-9406-379b578b03ca,Hyperoodon ampullatus,"(Forster, 1770)",-18.0,66.33333,urn:lsid:marinespecies.org:taxname:343899,False,343899,HumanObservation,,,Mammalia,1837,Europe,Iceland,19119a0f-92f3-4662-85c5-30f8472067cf,Ziphiidae,136986.0,Hyperoodon,137033.0,Iceland,"{Pike, 2005 #1125}",Animalia,2,Icelandic coastal waters,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2007_1959,Cetartiodactyla,370511.0,Hyperoodon ampullatus,Chordata,1821,Individuals,Primary sightings from aerial surveys,Hyperoodon ampullatus,343899.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1959,no_depth
27,0056d030-5220-40e5-a233-6efa5890a882,Physeter macrocephalus,"Linnaeus, 1758",-18.0,66.33333,urn:lsid:marinespecies.org:taxname:137118,False,137119,HumanObservation,,VU,Mammalia,1837,Europe,Iceland,19119a0f-92f3-4662-85c5-30f8472067cf,Physeteridae,136985.0,Physeter,137032.0,Iceland,"{Pike, 2005 #1125}",Animalia,2,Icelandic coastal waters,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2015_1953,Cetartiodactyla,370511.0,Physeter catodon,Chordata,1821,Individuals,Primary sightings from aerial surveys,Physeter macrocephalus,137119.0,Vertebrata,146419,Tetrapoda,1831,,Arctic,1953,no_depth
28,0056f709-2e8f-42e7-ad31-5f5cc3a464ef,Enhydra lutris,"Linnaeus, 1758",178.30278,51.78806,urn:lsid:marinespecies.org:taxname:242598,False,242598,HumanObservation,,EN,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Mustelidae,136974.0,Enhydra,242597.0,United States,"{DOROFF, 2003 #1276}",Animalia,2,"Rat Islands, Aleutian Islands, Alaska",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_4805_2002,Carnivora,2687.0,Enhydra lutris,Chordata,1821,number of individuals,aerial survey,Enhydra lutris,242598.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,2002,"no_depth,on_land"
29,005c5ce5-20c3-4966-93fc-e83009575a60,Balaena mysticetus,"Linnaeus, 1758",-168.74028,63.70389,urn:lsid:marinespecies.org:taxname:137086,False,137086,HumanObservation,,,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenidae,136978.0,Balaena,137012.0,United States,"{Gotthardt, 2006 #1137}",Animalia,2,"Western Arctic stock, Alaska (aka Bering-Chukchi-Beaufort stock)",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2188_2007,Cetartiodactyla,370511.0,Balaena mysticetus,Chordata,1821,Number of individuals,unspecified,Balaena mysticetus,137086.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,2007,no_depth
36,00718099-f28e-4318-8567-0efedae998ee,Phocoena phocoena,"Linnaeus, 1758",-18.0,66.33333,urn:lsid:marinespecies.org:taxname:137117,False,137117,HumanObservation,True,,Mammalia,1837,Europe,Iceland,19119a0f-92f3-4662-85c5-30f8472067cf,Phocoenidae,136984.0,Phocoena,137031.0,Iceland,"{Pike, 2005 #1125}",Animalia,2,Icelandic coastal waters,True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_2014_2004,Cetartiodactyla,370511.0,Phocoena phocoena,Chordata,1821,Individuals,Primary sightings from aerial surveys,Phocoena phocoena,137117.0,Vertebrata,146419,Tetrapoda,1831,False,Arctic,2004,no_depth
45,00872e56-6308-400d-aab7-8353393aca54,Balaenoptera physalus,"(Linnaeus, 1758)",-170.0,57.0,urn:lsid:marinespecies.org:taxname:137091,False,137091,HumanObservation,,VU,Mammalia,1837,North America,United States,19119a0f-92f3-4662-85c5-30f8472067cf,Balaenopteridae,136979.0,Balaenoptera,137013.0,United States,"{Baretta, 1994 #1685}",Animalia,2,"Pribilof Isalnds, Bering Sea",True,"[""da50007b-7871-46cf-8530-441b5836d2c1""]",M_6415_1968,Cetartiodactyla,370511.0,Balaenoptera physalus,Chordata,1821,Frequency of group sightings,boat based surveys,Balaenoptera physalus,137091.0,Vertebrata,146419,Tetrapoda,1831,,Pacific north temperate,1968,no_depth
